Titulares,P,CA,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,Eventos,partido,equipo,localizacion
Asier Illarramendi,-,-,0,0,0,0,0,1,3,4,3,0,0,75,,71,real_sociedad,visitante
Igor Zubeldia,-,-,0,0,2,1,0,0,2,2,2,2,1,80,,71,real_sociedad,visitante
Mikel Oyarzabal  85',-,-,2,2,1,1,0,2,3,2,0,1,1,73.9,,71,real_sociedad,visitante
Rubén Pardo  65',-,-,1,0,2,0,0,0,1,0,0,0,1,84,,71,real_sociedad,visitante
Luca Sangalli  75',-,-,1,1,1,1,0,5,3,0,3,3,0,66.7,,71,real_sociedad,visitante
Jon Bautista,-,-,2,0,0,0,0,2,2,1,2,0,0,45,,71,real_sociedad,visitante
Yassine Bono,1,0,0,0,0,0,0,0,0,0,0,0,0,75,,72,girona,local
Bernardo Espinosa,-,-,0,0,0,0,0,0,1,5,0,0,1,81.8,,72,girona,local
Aday Benítez  80',-,-,1,0,7,1,1,1,1,0,3,0,1,69.7,,72,girona,local
Juanpe Ramírez,-,-,0,0,0,0,0,0,1,2,2,0,0,72.7,,72,girona,local
Marc Muniesa,-,-,0,0,0,0,0,1,1,4,3,0,0,72.7,,72,girona,local
Pedro Porro  72',-,-,0,0,5,1,0,1,1,0,0,2,1,47.8,,72,girona,local
Álex Granell,-,-,2,0,4,0,1,3,0,2,0,1,0,75.6,,72,girona,local
Cristian Portu  76',-,-,1,0,0,0,1,1,0,0,0,1,1,53.8,,72,girona,local
Borja García,-,-,1,0,1,0,0,3,0,0,2,1,1,66.7,,72,girona,local
Douglas Luiz,-,-,1,0,0,0,0,2,1,4,0,1,1,74.3,,72,girona,local
Christian Stuani,-,-,3,2,0,0,0,3,2,0,0,1,0,69.2,,72,girona,local
Marko Dmitrovic,1,2,0,0,0,0,0,0,0,0,0,0,0,34.5,,72,eibar,visitante
Rubén Peña,-,-,1,0,5,1,1,1,2,3,1,0,1,63.3,,72,eibar,visitante
Paulo Oliveira,-,-,0,0,0,0,0,1,2,1,1,0,0,39.1,,72,eibar,visitante
José Ángel,-,-,0,0,4,0,1,0,3,0,1,0,1,63.3,,72,eibar,visitante
Anaitz Arbilla,-,-,1,1,0,0,0,0,1,4,1,0,0,64.5,,72,eibar,visitante
Pape Diop,-,-,0,0,0,0,0,1,3,2,1,1,1,78.8,,72,eibar,visitante
Fabián Orellana  76',-,-,2,1,4,1,1,1,1,0,1,3,3,69.6,,72,eibar,visitante
Pablo de Blasis,-,-,1,0,3,1,0,1,1,1,1,0,1,70.6,,72,eibar,visitante
Joan Jordan,-,-,1,0,10,2,3,0,2,0,1,0,2,82.1,,72,eibar,visitante
Sergi Enrich  84',-,-,4,1,0,0,0,1,1,0,0,1,0,78.8,,72,eibar,visitante
Charles Dias  70',-,-,2,1,0,0,0,1,1,1,0,0,0,68.8,,72,eibar,visitante
David Soria,2,1,0,0,0,0,0,0,0,0,0,0,1,46.7,,73,getafe,local
Dakonam Djené,-,-,2,0,2,0,0,0,4,3,6,1,0,57.1,,73,getafe,local
Vitorino Antunes,-,-,1,0,9,3,0,3,3,1,3,1,3,67.4,,73,getafe,local
Bruno González,-,-,2,0,1,0,0,0,0,1,0,0,0,85.2,,73,getafe,local
Damián Suárez,-,-,1,0,12,4,3,1,2,1,2,2,3,69.2,,73,getafe,local
Francisco Portillo  90',-,-,0,0,5,0,2,4,1,2,0,2,0,88.4,,73,getafe,local
Amath Ndiaye  66',-,-,1,0,3,2,2,4,2,2,1,1,0,76.5,,73,getafe,local
Mauro Arambarri  53',-,-,0,0,0,0,0,1,0,0,0,0,2,88.9,,73,getafe,local
Nemanja Maksimovic,-,-,1,1,0,0,0,1,0,1,1,0,0,76.2,,73,getafe,local
Jaime Mata  61',-,-,2,0,2,0,0,2,1,0,0,0,1,54.5,,73,getafe,local
Jorge Molina,-,-,2,2,1,1,1,0,1,0,0,1,3,61.5,,73,getafe,local
Oier Olazábal,4,1,0,0,0,0,0,1,0,0,0,0,0,50,,73,levante,visitante
Toño García,-,-,1,0,0,0,0,2,1,4,1,2,1,63.6,,73,levante,visitante
Róber Pier,-,-,0,0,0,0,0,1,1,1,1,0,0,73.3,,73,levante,visitante
Sergio Postigo,-,-,0,0,0,0,0,2,0,2,1,0,1,84,,73,levante,visitante
Erick Cabaco  73',-,-,0,0,0,0,0,0,1,1,1,0,0,70.6,,73,levante,visitante
Sanji Prcic  45',-,-,1,0,0,0,0,1,2,1,1,0,0,72.2,,73,levante,visitante
Jason,-,-,1,1,2,0,0,5,2,3,1,0,1,73.9,,73,levante,visitante
José Campaña,-,-,0,0,3,1,1,0,1,1,2,2,1,68.9,,73,levante,visitante
Rubén Rochina,-,-,2,1,2,0,1,1,4,0,1,0,2,65.8,,73,levante,visitante
José Luis Morales,-,-,1,0,1,0,0,1,0,0,0,2,1,53.3,,73,levante,visitante
Emmanuel Boateng  83',-,-,4,0,0,0,0,1,3,0,1,1,1,50,,73,levante,visitante
Fernando Pacheco,5,0,0,0,0,0,0,0,0,0,0,0,0,63,,74,alaves,local
Rubén Duarte,-,-,1,1,1,0,0,1,2,0,0,0,0,75,,74,alaves,local
Víctor Laguardia,-,-,0,0,0,0,0,1,0,1,4,0,1,61.8,,74,alaves,local
Guillermo Maripán  87',-,-,0,0,0,0,0,0,1,1,2,0,0,61.9,,74,alaves,local
Ximo Navarro,-,-,1,0,0,0,1,1,2,1,1,1,0,70.8,,74,alaves,local
Tomás Pina,-,-,0,0,0,0,0,0,2,1,1,0,0,88.1,,74,alaves,local
Ibai Gómez  66',-,-,0,0,3,0,1,0,0,0,3,0,1,61.1,,74,alaves,local
Mubarak Wakaso  73',-,-,1,0,0,0,0,0,2,2,0,1,0,80,,74,alaves,local
Jony Rodríguez,-,-,2,0,4,3,2,1,1,1,0,0,1,60.9,,74,alaves,local
Darko Brasanac,-,-,0,0,0,0,0,0,4,1,1,0,1,73.7,,74,alaves,local
Jonathan Calleri,-,-,1,1,2,0,0,3,4,0,0,0,1,50,,74,alaves,local
Thibaut Courtois,3,1,0,0,0,0,0,0,0,0,0,0,0,83.3,,74,real_madrid,visitante
Sergio Ramos,-,-,0,0,0,0,0,5,1,3,0,0,0,92.9,,74,real_madrid,visitante
Raphaël Varane,-,-,0,0,0,0,0,0,1,1,0,0,0,88.2,,74,real_madrid,visitante
Nacho Fernández,-,-,1,0,4,1,0,1,2,3,1,0,1,90.3,,74,real_madrid,visitante
Álvaro Odriozola,-,-,0,0,4,1,1,1,1,1,3,0,2,91.1,,74,real_madrid,visitante
Toni Kroos,-,-,0,0,4,0,1,3,1,1,0,0,0,93.8,,74,real_madrid,visitante
Luka Modric,-,-,0,0,1,0,0,2,1,0,2,1,1,87.7,,74,real_madrid,visitante
Casemiro  61',-,-,2,1,0,0,0,1,1,0,0,0,0,89.6,,74,real_madrid,visitante
Dani Ceballos,-,-,1,1,1,1,1,2,1,1,1,0,2,91.9,,74,real_madrid,visitante
Karim Benzema  45',-,-,2,2,1,1,0,1,0,0,0,1,2,77.8,,74,real_madrid,visitante
Gareth Bale  79',-,-,4,1,4,0,0,3,0,0,0,0,1,71.9,,74,real_madrid,visitante
Iván Cuéllar,2,1,0,0,0,0,0,0,0,0,0,0,0,68,,75,leganes,local
Unai Bustinza  28',-,-,0,0,0,0,0,0,0,1,0,0,0,71.4,,75,leganes,local
Jonathan Silva,-,-,1,0,6,1,1,0,1,1,0,0,2,72.7,,75,leganes,local
Dimitrios Siovas,-,-,0,0,0,0,0,0,1,1,1,0,0,60,,75,leganes,local
Rodrigo Tarín,-,-,0,0,1,0,0,0,1,2,2,0,0,73.3,,75,leganes,local
Nabil El Zhar,-,-,0,0,4,1,0,3,4,1,1,1,2,66.7,,75,leganes,local
Rubén Pérez,-,-,0,0,0,0,0,0,0,3,0,0,0,68.6,,75,leganes,local
Mikel Vesga,-,-,1,0,1,0,1,1,1,1,0,0,0,80,,75,leganes,local
Óscar Rodríguez,-,-,4,1,7,5,3,2,1,2,1,0,5,86.7,,75,leganes,local
Guido Carrillo  85',-,-,3,1,0,0,0,0,2,0,0,0,0,56,,75,leganes,local
Michael Santos  68',-,-,3,1,1,1,0,3,0,0,1,1,2,50,,75,leganes,local
Alberto García,3,0,0,0,0,0,0,0,0,0,0,0,0,83.9,,75,rayo,visitante
Álex Moreno,-,-,1,0,4,0,1,2,1,0,0,0,0,59.1,,75,rayo,visitante
Jordi Amat,-,-,0,0,0,0,0,0,1,0,1,1,0,90,,75,rayo,visitante
Luis Advíncula,-,-,1,1,2,1,0,0,2,1,4,1,2,87.7,,75,rayo,visitante
Abdoulaye Ba,-,-,0,0,0,0,0,0,2,1,0,0,0,92.3,,75,rayo,visitante
Álvaro Medrán  81',-,-,2,1,5,0,1,2,1,0,1,0,1,78.8,,75,rayo,visitante
Óscar Trejo  72',-,-,0,0,2,0,1,2,0,0,2,2,0,72.1,,75,rayo,visitante
Gael Kakuta  49',-,-,0,0,5,1,1,0,1,0,0,1,0,50,,75,rayo,visitante
Santi Comesaña,-,-,0,0,1,1,0,0,3,3,3,0,1,90.5,,75,rayo,visitante
Raúl De Tomás,-,-,0,0,0,0,0,1,0,0,0,0,0,100,,75,rayo,visitante
Bebé  48',-,-,2,0,3,1,0,2,1,0,0,0,0,75,,75,rayo,visitante
Jordi Masip,1,3,0,0,0,0,0,0,0,0,0,0,0,20.7,,76,valladolid,local
Kiko Olivas,-,-,0,0,0,0,0,0,0,1,1,1,0,90.6,,76,valladolid,local
Fernando Calero,-,-,0,0,0,0,0,1,0,0,0,0,0,95.1,,76,valladolid,local
Javi Moyano,-,-,1,1,1,0,0,1,0,0,0,0,0,81.8,,76,valladolid,local
Nacho Martínez,-,-,0,0,2,0,0,1,2,1,4,1,0,80.5,,76,valladolid,local
Rubén Alcaraz,-,-,4,1,0,0,2,3,2,0,1,1,0,82.5,,76,valladolid,local
Toni Villa  71',-,-,0,0,2,0,1,1,1,2,2,0,0,77.3,,76,valladolid,local
Míchel Herrero,-,-,0,0,6,3,0,0,1,0,2,0,4,80.4,,76,valladolid,local
Leo Suárez,-,-,0,0,3,0,0,2,0,0,1,1,0,81,,76,valladolid,local
Enes Ünal  62',-,-,1,0,0,0,0,1,1,0,0,0,0,85.7,,76,valladolid,local
Duje Cop  83',-,-,3,1,1,0,2,0,0,0,0,0,0,66.7,,76,valladolid,local
Aleksandar Jovanovic,2,0,0,0,0,0,0,0,0,0,0,0,0,36.8,,76,huesca,visitante
Xabier Etxeita,-,-,0,0,3,0,0,0,2,1,0,0,2,82.3,,76,huesca,visitante
Rúben Semedo,-,-,1,0,0,0,0,0,2,1,2,0,0,92.9,,76,huesca,visitante
Jorge Pulido  63',-,-,0,0,0,0,0,1,1,1,2,0,0,88.2,,76,huesca,visitante
Jorge Miramón,-,-,0,0,3,1,1,0,1,2,0,0,0,81.3,,76,huesca,visitante
Juan Aguilera  70',-,-,1,0,0,0,0,2,0,1,0,0,0,90.2,,76,huesca,visitante
Moi Gómez,-,-,0,0,1,1,0,2,0,0,0,0,1,96.6,,76,huesca,visitante
David Ferreiro,-,-,0,0,7,1,0,0,1,2,2,0,1,82.4,,76,huesca,visitante
Serdar Gurler  56',-,-,1,1,0,0,0,2,1,0,0,1,0,50,,76,huesca,visitante
Lluís Sastre,-,-,0,0,2,0,0,1,2,0,3,0,1,81.9,,76,huesca,visitante
Chimy Ávila,-,-,4,0,0,0,0,0,2,0,0,1,1,52.2,,76,huesca,visitante
Jan Oblak,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,77,atletico,local
Diego Godín,-,-,2,1,0,0,1,0,1,0,1,1,0,73.3,,77,atletico,local
Filipe Luis,-,-,1,0,1,0,0,1,4,2,2,1,1,80.6,,77,atletico,local
Juanfran Torres  73',-,-,0,0,4,2,1,0,2,0,2,0,1,72,,77,atletico,local
Lucas Hernández,-,-,1,0,0,0,0,3,2,2,3,0,0,82.5,,77,atletico,local
Koke Resurrección,-,-,0,0,7,2,1,1,1,2,1,0,4,84.6,,77,atletico,local
Saúl Ñíguez,-,-,2,0,3,0,2,0,1,1,3,0,0,62.1,,77,atletico,local
Thomas Lemar  56',-,-,0,0,1,1,1,0,1,0,0,0,2,78.6,,77,atletico,local
Rodri Hernández,-,-,1,1,0,0,0,0,1,1,3,1,0,94.7,,77,atletico,local
Antoine Griezmann,-,-,3,1,0,0,0,2,0,0,0,0,2,56,,77,atletico,local
Nikola Kalinic  65',-,-,2,1,0,0,0,2,1,1,0,0,0,41.7,,77,atletico,local
Pau López,4,1,0,0,0,0,0,0,0,0,0,0,0,76.9,,77,betis,visitante
Francis Guerrero  80',-,-,0,0,5,1,1,3,0,0,1,0,0,72.5,,77,betis,visitante
Marc Bartra,-,-,0,0,0,0,0,1,2,2,2,0,0,88.1,,77,betis,visitante
Sidnei,-,-,0,0,0,0,0,0,1,2,3,0,1,90.2,,77,betis,visitante
Junior Firpo,-,-,1,0,0,0,1,1,1,3,2,2,0,91.1,,77,betis,visitante
Aissa Mandi,-,-,0,0,0,0,0,1,2,3,0,0,0,96.9,,77,betis,visitante
Sergio Canales,-,-,1,0,3,1,0,2,1,3,3,2,1,87.5,,77,betis,visitante
Joaquín Sánchez  65',-,-,0,0,1,0,0,2,0,0,1,0,1,88.9,,77,betis,visitante
Andrés Guardado  16',-,-,0,0,0,0,0,0,0,0,0,0,1,66.7,,77,betis,visitante
Giovani Lo Celso,-,-,1,0,1,0,1,1,1,0,2,1,0,83.9,,77,betis,visitante
Loren Morón,-,-,1,0,0,0,0,4,0,0,0,0,0,76.9,,77,betis,visitante
Diego López,4,1,0,0,0,0,0,0,0,1,0,0,0,61.5,,78,espanyol,local
Didac Vilà,-,-,1,1,1,0,0,1,1,0,0,0,1,80.8,,78,espanyol,local
David López,-,-,1,0,0,0,0,0,1,2,1,0,0,88.7,,78,espanyol,local
Javi López,-,-,3,0,4,1,0,3,1,1,1,0,1,91.5,,78,espanyol,local
Mario Hermoso,-,-,1,0,0,0,0,0,0,3,3,0,0,87.9,,78,espanyol,local
Sergi Darder,-,-,3,1,2,0,0,1,2,0,3,2,2,89.3,,78,espanyol,local
Hernán Pérez  72',-,-,2,2,6,1,1,0,2,0,0,3,2,79.2,,78,espanyol,local
Marc Roca,-,-,1,0,0,0,0,0,1,1,4,0,2,98.4,,78,espanyol,local
Esteban Granero  64',-,-,1,1,5,1,0,0,1,3,1,0,1,97.4,,78,espanyol,local
Borja Iglesias  77',-,-,9,4,0,0,3,0,2,0,0,2,3,84.2,,78,espanyol,local
Sergio García,-,-,3,0,5,2,4,1,2,1,1,0,7,75,,78,espanyol,local
Sergio Asenjo,9,0,0,0,0,0,0,0,0,0,0,0,0,56.3,,78,villarreal,visitante
Álvaro González,-,-,0,0,0,0,0,0,1,0,0,0,0,77.1,,78,villarreal,visitante
Ramiro Funes Mori,-,-,2,1,0,0,0,2,2,0,1,1,1,86.7,,78,villarreal,visitante
Víctor Ruiz  85',-,-,0,0,0,0,0,0,0,1,4,0,0,85.7,,78,villarreal,visitante
Jaume Costa,-,-,1,0,5,0,0,2,0,0,1,1,0,93.1,,78,villarreal,visitante
Miguel Llambrich  80',-,-,0,0,2,0,0,2,1,1,5,1,0,81.5,,78,villarreal,visitante
Pablo Fornals,-,-,2,1,0,0,1,2,0,3,1,0,2,84.5,,78,villarreal,visitante
Manu Trigueros,-,-,1,0,0,0,1,2,2,0,1,0,2,96.3,,78,villarreal,visitante
Miguel Layún,-,-,3,1,11,3,1,1,0,0,1,1,1,78.8,,78,villarreal,visitante
Gerard Moreno,-,-,2,1,0,0,0,0,1,0,0,3,1,84.6,,78,villarreal,visitante
Karl Toko Ekambi  66',-,-,2,2,1,0,0,1,0,1,1,1,1,80,,78,villarreal,visitante
Tomáš Vaclík,4,0,0,0,0,0,0,0,0,0,0,0,0,64.7,,79,sevilla,local
Sergi Gómez,-,-,0,0,0,0,0,1,1,1,2,0,0,86.5,,79,sevilla,local
Simon Kjaer,-,-,1,0,0,0,0,0,0,2,1,0,0,91.4,,79,sevilla,local
Daniel Carriço,-,-,0,0,1,0,0,0,0,0,0,0,0,81.3,,79,sevilla,local
Jesús Navas,-,-,2,0,10,2,3,1,0,0,0,0,2,78.7,,79,sevilla,local
Guilherme Arana,-,-,1,1,4,0,3,0,1,0,1,0,1,90.9,,79,sevilla,local
Éver Banega  91',-,-,0,0,7,1,1,1,2,0,4,1,2,93,,79,sevilla,local
Pablo Sarabia,-,-,2,1,4,0,0,1,3,1,0,0,1,88.4,,79,sevilla,local
Franco Vázquez,-,-,2,0,2,0,0,3,5,2,1,2,0,83.7,,79,sevilla,local
Wissam Ben Yedder  78',-,-,3,1,0,0,0,0,0,0,0,0,1,91.7,,79,sevilla,local
André Silva,-,-,0,0,0,0,0,2,2,0,1,0,2,62.5,,79,sevilla,local
Sergio Álvarez,1,0,0,0,0,0,0,0,0,0,0,0,0,71.8,,79,celta,visitante
Hugo Mallo,-,-,2,0,12,2,4,0,0,2,1,0,1,67.6,,79,celta,visitante
Néstor Araujo  57',-,-,0,0,0,0,0,1,0,0,1,0,1,79.4,,79,celta,visitante
David Juncà  82',-,-,0,0,7,3,0,2,0,1,0,0,0,87.5,,79,celta,visitante
Gustavo Cabral,-,-,3,0,0,0,1,0,0,0,1,0,0,84.8,,79,celta,visitante
Facundo Roncaglia,-,-,0,0,0,0,0,0,3,4,2,0,1,90.5,,79,celta,visitante
Fran Beltrán,-,-,0,0,0,0,0,2,1,1,3,0,0,93.5,,79,celta,visitante
Pione Sisto  45',-,-,1,1,1,0,0,1,0,0,0,3,0,80,,79,celta,visitante
Stanislav Lobotka,-,-,2,0,2,1,1,2,2,0,0,3,1,80.9,,79,celta,visitante
Maxi Gómez,-,-,0,0,1,0,1,3,2,0,0,0,3,76.5,,79,celta,visitante
Iago Aspas  69',-,-,2,2,1,0,0,1,0,0,1,0,0,68.8,,79,celta,visitante
Neto,4,1,0,0,0,0,0,0,0,0,0,0,0,47.6,,80,valencia,local
Gabriel Paulista,-,-,0,0,0,0,0,1,0,2,1,0,0,90.5,,80,valencia,local
José Gayà,-,-,1,0,3,1,0,0,0,0,1,0,0,65.7,,80,valencia,local
Cristiano Piccini,-,-,0,0,0,0,0,0,0,2,2,0,0,82.4,,80,valencia,local
Ezequiel Garay,-,-,1,1,0,0,0,0,0,0,1,0,0,73.9,,80,valencia,local
Geoffrey Kondogbia  78',-,-,1,0,0,0,0,0,3,4,0,1,0,83.9,,80,valencia,local
Gonçalo Guedes  11',-,-,0,0,1,0,1,1,0,0,0,1,0,66.7,,80,valencia,local
Carlos Soler,-,-,0,0,0,0,0,1,2,1,0,2,0,91.3,,80,valencia,local
Dani Parejo,-,-,1,0,4,1,1,0,2,2,1,0,2,86.5,,80,valencia,local
Kevin Gameiro  66',-,-,1,0,1,1,0,0,0,1,0,1,4,76.5,,80,valencia,local
Michy Batshuayi,-,-,3,2,0,0,1,1,1,0,0,0,0,72.7,,80,valencia,local
Marc-André ter Stegen,2,0,0,0,0,0,0,0,0,0,0,0,0,100,,80,barcelona,visitante
Nélson Semedo,-,-,0,0,2,0,1,1,1,3,2,1,0,95.3,,80,barcelona,visitante
Gerard Piqué,-,-,0,0,0,0,0,0,0,4,0,0,0,93.5,,80,barcelona,visitante
Jordi Alba,-,-,1,0,4,0,1,1,0,0,2,1,0,90.1,,80,barcelona,visitante
Thomas Vermaelen,-,-,0,0,0,0,0,0,1,1,0,0,0,93.7,,80,barcelona,visitante
Ivan Rakitic,-,-,0,0,1,0,0,1,0,2,0,1,1,95.1,,80,barcelona,visitante
Sergio Busquets,-,-,0,0,0,0,0,2,0,2,3,0,1,88.8,,80,barcelona,visitante
Philippe Coutinho  83',-,-,1,1,0,0,0,2,1,1,0,1,0,86.3,,80,barcelona,visitante
Arthur Melo  87',-,-,0,0,1,0,0,4,0,1,0,1,0,95.1,,80,barcelona,visitante
Luis Suárez,-,-,2,0,0,0,0,0,1,0,1,1,1,75,,80,barcelona,visitante
Lionel Messi,-,-,6,4,2,0,0,0,1,0,0,4,2,82.4,,80,barcelona,visitante
Sergio Álvarez,1,1,0,0,0,0,0,0,0,0,0,0,0,76,,81,celta,local
Hugo Mallo,-,-,1,0,6,1,1,0,0,0,3,0,1,77.3,,81,celta,local
Gustavo Cabral,-,-,1,0,0,0,0,0,1,0,2,0,0,88.7,,81,celta,local
Facundo Roncaglia,-,-,0,0,1,0,0,1,1,3,0,0,0,82.4,,81,celta,local
Junior Alonso  86',-,-,3,2,3,0,0,1,0,2,1,0,1,78.2,,81,celta,local
Fran Beltrán  62',-,-,0,0,1,0,0,1,0,0,2,0,0,96.1,,81,celta,local
Stanislav Lobotka,-,-,0,0,0,0,0,0,2,4,0,0,2,88,,81,celta,local
Sofiane Boufal  73',-,-,4,1,1,0,1,1,2,1,1,6,1,76.7,,81,celta,local
Brais Méndez,-,-,5,4,8,2,0,4,1,0,2,3,5,83.3,,81,celta,local
Iago Aspas,-,-,3,2,1,0,1,1,0,1,0,0,5,81.8,,81,celta,local
Dennis Eckert,-,-,0,0,2,0,2,2,1,1,0,0,1,76.5,,81,celta,local
Fernando Pacheco,9,1,0,0,0,0,0,0,0,0,0,0,0,42.1,,81,alaves,visitante
Rubén Duarte,-,-,0,0,1,0,0,3,0,1,0,0,1,81.5,,81,alaves,visitante
Víctor Laguardia,-,-,1,0,0,0,0,1,0,2,2,0,1,64.1,,81,alaves,visitante
Ximo Navarro,-,-,0,0,0,0,0,0,2,4,0,0,0,75,,81,alaves,visitante
Martín Aguirregabiria,-,-,0,0,2,0,0,2,1,3,1,0,1,71.9,,81,alaves,visitante
Tomás Pina,-,-,1,1,1,0,0,1,3,1,1,0,0,86,,81,alaves,visitante
Ibai Gómez,-,-,4,1,4,0,0,0,0,0,0,0,0,78.3,,81,alaves,visitante
Manu García,-,-,1,0,0,0,0,1,2,0,2,0,0,79.5,,81,alaves,visitante
Jony Rodríguez  92',-,-,0,0,5,1,0,0,0,1,0,1,2,72.4,,81,alaves,visitante
Darko Brasanac  75',-,-,1,0,1,0,1,0,1,0,1,0,0,78.3,,81,alaves,visitante
Jonathan Calleri  73',-,-,1,0,2,0,1,1,1,0,0,0,0,66.7,,81,alaves,visitante
Thibaut Courtois,0,0,0,0,0,0,0,1,0,0,0,0,0,93.8,,82,real_madrid,local
Sergio Ramos,-,-,2,1,0,0,1,1,2,0,0,0,0,95.9,,82,real_madrid,local
Raphaël Varane,-,-,2,0,0,0,0,1,1,2,2,0,0,96.1,,82,real_madrid,local
Marcelo,-,-,4,1,12,4,4,1,1,1,1,4,7,86.3,,82,real_madrid,local
Álvaro Odriozola  45',-,-,0,0,4,0,1,0,1,1,0,0,1,94.3,,82,real_madrid,local
Luka Modric,-,-,3,1,3,1,1,4,0,2,2,6,2,93.2,,82,real_madrid,local
Casemiro,-,-,5,1,3,0,1,1,0,0,3,2,3,90.5,,82,real_madrid,local
Lucas Vázquez,-,-,3,3,10,4,1,2,2,0,1,0,3,86.4,,82,real_madrid,local
Marco Asensio  59',-,-,2,0,8,4,1,4,0,1,1,0,3,90.9,,82,real_madrid,local
Isco Alarcón  59',-,-,1,0,6,2,2,1,1,0,2,2,4,92.3,,82,real_madrid,local
Mariano Díaz,-,-,4,1,0,0,1,0,0,0,0,0,1,88.9,,82,real_madrid,local
Oier Olazábal,11,0,0,0,0,0,0,0,0,1,0,0,0,41.4,,82,levante,visitante
Toño García,-,-,0,0,1,0,0,0,1,2,1,2,0,80,,82,levante,visitante
Róber Pier,-,-,0,0,0,0,0,0,1,2,1,0,0,94.4,,82,levante,visitante
Sergio Postigo  74',-,-,0,0,0,0,0,0,0,2,3,0,1,75,,82,levante,visitante
Erick Cabaco,-,-,0,0,0,0,0,3,4,1,1,1,0,73.7,,82,levante,visitante
Enis Bardhi,-,-,0,0,1,0,0,0,3,0,4,2,0,56.5,,82,levante,visitante
José Luis Morales,-,-,2,1,0,0,0,2,1,0,0,3,1,63.2,,82,levante,visitante
Jason,-,-,1,0,1,1,0,1,1,6,0,1,0,77.8,,82,levante,visitante
José Campaña,-,-,0,0,1,0,0,0,1,5,0,0,0,76.7,,82,levante,visitante
Roger Martí  78',-,-,2,1,0,0,1,1,3,1,0,1,0,68.8,,82,levante,visitante
Rubén Rochina  66',-,-,1,0,0,0,0,0,3,1,3,3,1,71,,82,levante,visitante
Neto,4,0,0,0,0,0,0,0,0,0,0,0,0,50,,83,valencia,local
Gabriel Paulista,-,-,1,0,0,0,0,1,2,3,1,0,0,81.8,,83,valencia,local
José Gayà,-,-,1,1,9,3,2,1,0,0,1,1,2,91.5,,83,valencia,local
Cristiano Piccini  58',-,-,1,0,2,0,2,1,0,0,0,1,0,74.1,,83,valencia,local
Ezequiel Garay,-,-,1,1,0,0,0,1,1,2,0,0,2,91.5,,83,valencia,local
Dani Parejo,-,-,0,0,14,3,1,1,1,2,0,1,5,82.2,,83,valencia,local
Denis Cheryshev  15',-,-,0,0,2,0,1,0,1,0,1,0,0,100,,83,valencia,local
Francis Coquelin  78',-,-,0,0,0,0,1,2,0,0,2,3,0,93.9,,83,valencia,local
Daniel Wass,-,-,4,0,3,0,1,1,1,1,0,0,1,73.3,,83,valencia,local
Kevin Gameiro,-,-,3,1,1,0,0,0,1,1,0,1,0,76.9,,83,valencia,local
Rodrigo Moreno,-,-,2,1,3,0,1,1,1,0,0,0,0,85.2,,83,valencia,local
Iván Cuéllar,3,1,0,0,0,0,0,0,0,0,0,0,0,55.3,,83,leganes,visitante
Juanfran Moreno,-,-,0,0,5,0,0,1,1,2,1,0,0,68,,83,leganes,visitante
Jonathan Silva,-,-,0,0,1,0,0,0,2,1,1,0,0,81.3,,83,leganes,visitante
Dimitrios Siovas,-,-,0,0,0,0,0,0,1,3,3,0,0,79.1,,83,leganes,visitante
Kenneth Omeruo  69',-,-,0,0,0,0,0,0,0,1,0,0,0,94.7,,83,leganes,visitante
Gerard Gumbau,-,-,2,1,1,0,1,1,2,1,1,1,0,65.4,,83,leganes,visitante
Nabil El Zhar  45',-,-,1,1,0,0,0,1,2,0,1,3,0,80,,83,leganes,visitante
Rubén Pérez,-,-,0,0,0,0,0,0,0,0,2,0,0,78.7,,83,leganes,visitante
Mikel Vesga,-,-,0,0,0,0,0,2,1,2,2,1,1,79.4,,83,leganes,visitante
Óscar Rodríguez,-,-,2,2,2,0,0,1,2,1,2,1,1,83.3,,83,leganes,visitante
Guido Carrillo  42',-,-,0,0,0,0,0,1,0,0,0,0,0,37.5,,83,leganes,visitante
Sergio Asenjo,4,1,0,0,0,0,0,0,0,0,0,0,0,73.9,,84,villarreal,local
Mario Gaspar,-,-,1,1,1,0,1,0,0,3,0,0,0,85.7,,84,villarreal,local
Álvaro González,-,-,0,0,0,0,0,1,3,0,0,0,0,83.7,,84,villarreal,local
Ramiro Funes Mori,-,-,1,0,0,0,0,1,0,3,0,0,0,74.5,,84,villarreal,local
Jaume Costa,-,-,2,1,3,1,1,0,2,4,3,0,1,82.1,,84,villarreal,local
Alfonso Pedraza  72',-,-,1,0,2,0,2,0,0,0,1,0,2,72.2,,84,villarreal,local
Pablo Fornals,-,-,4,1,2,0,0,2,3,0,2,2,4,70.2,,84,villarreal,local
Manu Trigueros,-,-,0,0,2,1,0,1,1,0,1,0,3,89.2,,84,villarreal,local
Santi Cazorla,-,-,2,0,7,0,1,1,0,2,4,0,2,90.9,,84,villarreal,local
Manuel Iturra  63',-,-,0,0,0,0,0,1,2,1,0,0,0,84.4,,84,villarreal,local
Gerard Moreno,-,-,6,3,0,0,2,1,4,0,0,1,1,80,,84,villarreal,local
Jan Oblak,5,0,0,0,0,0,0,0,0,0,0,0,0,54.2,,84,atletico,visitante
