Titulares,P,CA,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,Eventos,partido,equipo,localizacion
Víctor Ruiz,-,-,0,0,0,0,0,1,2,2,0,0,0,86,,310,villarreal,visitante
Alfonso Pedraza,-,-,1,0,3,1,1,1,4,4,1,2,1,80,,310,villarreal,visitante
Daniele Bonera  27',-,-,0,0,0,0,0,0,0,0,0,0,0,71.4,,310,villarreal,visitante
Santi Cazorla,-,-,3,2,5,3,0,1,1,1,0,1,2,77,,310,villarreal,visitante
Vicente Iborra,-,-,1,0,0,0,0,8,1,0,0,1,0,88.9,,310,villarreal,visitante
Manuel Morlanes  72',-,-,0,0,0,0,0,0,0,0,2,0,2,72.7,,310,villarreal,visitante
Samuel Chukweze  63',-,-,1,1,0,0,0,0,1,0,0,4,0,57.1,,310,villarreal,visitante
Karl Toko Ekambi,-,-,0,0,0,0,0,1,0,1,0,1,1,73.7,,310,villarreal,visitante
Diego López,2,1,0,0,0,0,0,0,0,0,0,0,0,55,,311,espanyol,local
Naldo Gomes,-,-,0,0,0,0,0,0,2,1,0,0,0,83.1,,311,espanyol,local
Roberto Rosales  27',-,-,0,0,1,0,0,0,1,0,0,0,0,76.9,,311,espanyol,local
Mario Hermoso,-,-,0,0,0,0,0,1,0,2,0,0,0,83.9,,311,espanyol,local
Adrià Pedrosa,-,-,1,1,2,0,0,0,1,0,2,3,0,82.1,,311,espanyol,local
Víctor Sánchez,-,-,1,0,2,0,1,3,2,2,1,2,0,78.7,,311,espanyol,local
Sergi Darder,-,-,1,1,5,1,1,0,1,0,1,5,0,66.7,,311,espanyol,local
Óscar Melendo  84',-,-,0,0,0,0,0,6,0,0,1,3,1,81.1,,311,espanyol,local
Marc Roca,-,-,1,0,0,0,0,2,1,0,0,1,0,86.2,,311,espanyol,local
Borja Iglesias,-,-,1,0,0,0,2,4,1,1,1,0,0,64,,311,espanyol,local
Wu Lei  63',-,-,0,0,0,0,0,0,1,0,1,0,1,100,,311,espanyol,local
Fernando Pacheco,1,0,0,0,0,0,0,0,0,0,0,0,0,76.2,,311,alaves,visitante
Rubén Duarte,-,-,0,0,3,1,1,0,2,3,1,0,2,68.2,,311,alaves,visitante
Rodrigo Ely,-,-,0,0,0,0,0,1,4,2,2,0,1,73.7,,311,alaves,visitante
Víctor Laguardia,-,-,0,0,0,0,0,0,2,3,0,0,1,79.5,,311,alaves,visitante
Ximo Navarro,-,-,1,0,1,0,0,1,1,1,1,1,0,82.8,,311,alaves,visitante
